run_id,firm_id,incarnation,fyearq,fqtr,saleq,cogsq,gpq,xrdq,xsgaq,dpq,oiadpq,xintq,piq,txtq,niq,cheq,rectq,invtq,ppentq,atq,apq,acoq,txpq,dlcq,lctq,dlttq,ltq,cstkq,apicq,ceqq,req,tstkq,oancfq,ivncfq,fincfq,chechq,capxq,sstkq,prstkq,dvq,prccq,cshoq,mkvaltq,default_flag,empq
run_1775877722,firm_0,1,2031,1,17480000,2902890.936252976,14577109.063747024,15000000,8000000,625000.0,-9047890.936252976,0.0,-9047890.936252976,0.0,-9047890.936252976,311690542.70418495,2622000.0,0.0,29375000.0,343687542.70418495,435433.64043794636,2300000.0,0.0,0.0,2735433.640437946,0.0,2735433.640437946,10000.0,349990000.0,340952109.06374705,-9047890.936252976,0.0,-8309457.29581503,-5000000,0.0,-13309457.29581503,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_1,1,2031,1,18800000,2740504.5171935204,16059495.48280648,17000000,9000000,625000.0,-10565504.51719352,0.0,-10565504.51719352,0.0,-10565504.51719352,310250571.1603855,2820000.0,0.0,29375000.0,342445571.1603855,411075.67757902807,2600000.0,0.0,0.0,3011075.677579028,0.0,3011075.677579028,10000.0,349990000.0,339434495.4828065,-10565504.51719352,0.0,-9749428.839614492,-5000000,0.0,-14749428.839614492,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_2,1,2031,1,20160000,2930877.6831264812,17229122.31687352,19000000,10000000,625000.0,-12395877.68312648,0.0,-12395877.68312648,0.0,-12395877.68312648,308544753.96934247,3024000.0,0.0,29375000.0,340943753.96934247,439631.6524689722,2900000.0,0.0,0.0,3339631.6524689724,0.0,3339631.6524689724,10000.0,349990000.0,337604122.31687355,-12395877.68312648,0.0,-11455246.030657507,-5000000,0.0,-16455246.030657507,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_3,1,2031,1,21560000,2987794.852033337,18572205.147966664,21000000,11000000,625000.0,-14052794.852033336,0.0,-14052794.852033336,0.0,-14052794.852033336,306986374.37577164,3234000.0,0.0,29375000.0,339595374.37577164,448169.22780500056,3200000.0,0.0,0.0,3648169.2278050007,0.0,3648169.2278050007,10000.0,349990000.0,335947205.1479667,-14052794.852033336,0.0,-13013625.624228336,-5000000,0.0,-18013625.624228336,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_4,1,2031,1,23000000,3328776.7585154455,19671223.241484553,23000000,12000000,625000.0,-15953776.758515447,0.0,-15953776.758515447,0.0,-15953776.758515447,305220539.7552619,3450000.0,0.0,29375000.0,338045539.7552619,499316.5137773168,3500000.0,0.0,0.0,3999316.5137773165,0.0,3999316.5137773165,10000.0,349990000.0,334046223.2414845,-15953776.758515447,0.0,-14779460.244738132,-5000000,0.0,-19779460.24473813,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_0,1,2031,2,17480000,2896273.00608453,14583726.99391547,15000000,8000000,750000.0,-9166273.00608453,0.0,-9166273.00608453,0.0,-9166273.00608453,298273277.00857514,2622000.0,0.0,33625000.0,334520277.00857514,434440.9509126795,2300000.0,0.0,0.0,2734440.9509126795,0.0,2734440.9509126795,10000.0,349990000.0,331785836.0576625,-18214163.942337506,0.0,-8417265.695609797,-5000000,0.0,-13417265.695609797,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_1,1,2031,2,18800000,2731775.86630915,16068224.133690849,17000000,9000000,750000.0,-10681775.866309151,0.0,-10681775.866309151,0.0,-10681775.866309151,295317485.9964437,2820000.0,0.0,33625000.0,331762485.9964437,409766.37994637253,2600000.0,0.0,0.0,3009766.3799463725,0.0,3009766.3799463725,10000.0,349990000.0,328752719.61649734,-21247280.38350267,0.0,-9933085.163941806,-5000000,0.0,-14933085.163941806,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_2,1,2031,2,20160000,2918900.450136309,17241099.549863692,19000000,10000000,750000.0,-12508900.450136308,0.0,-12508900.450136308,0.0,-12508900.450136308,291784056.9342576,3024000.0,0.0,33625000.0,328433056.9342576,437835.0675204463,2900000.0,0.0,0.0,3337835.067520446,0.0,3337835.067520446,10000.0,349990000.0,325095221.8667372,-24904778.133262787,0.0,-11760697.035084834,-5000000,0.0,-16760697.035084834,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_3,1,2031,2,21560000,2972902.677562529,18587097.322437473,21000000,11000000,750000.0,-14162902.677562527,0.0,-14162902.677562527,0.0,-14162902.677562527,288571237.8720385,3234000.0,0.0,33625000.0,325430237.8720385,445935.40163437935,3200000.0,0.0,0.0,3645935.4016343793,0.0,3645935.4016343793,10000.0,349990000.0,321784302.47040415,-28215697.529595863,0.0,-13415136.503733149,-5000000,0.0,-18415136.50373315,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_4,1,2031,2,23000000,3309208.9734956617,19690791.026504338,23000000,12000000,750000.0,-16059208.973495662,0.0,-16059208.973495662,0.0,-16059208.973495662,284908395.61401325,3450000.0,0.0,33625000.0,321983395.61401325,496381.3460243492,3500000.0,0.0,0.0,3996381.3460243493,0.0,3996381.3460243493,10000.0,349990000.0,317987014.2679889,-32012985.73201111,0.0,-15312144.14124863,-5000000,0.0,-20312144.14124863,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_0,1,2031,3,17480000,2889723.6548864287,14590276.345113572,15000000,8000000,875000.0,-9284723.654886428,0.0,-9284723.654886428,0.0,-9284723.654886428,284862570.951009,2622000.0,0.0,37750000.0,325234570.951009,433458.5482329643,2300000.0,0.0,0.0,2733458.5482329642,0.0,2733458.5482329642,10000.0,349990000.0,322501112.40277606,-27498887.597223934,0.0,-8410706.057566144,-5000000,0.0,-13410706.057566144,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_1,1,2031,3,18800000,2723173.5845688935,16076826.415431106,17000000,9000000,875000.0,-10798173.584568894,0.0,-10798173.584568894,0.0,-10798173.584568894,280393022.06961375,2820000.0,0.0,37750000.0,320963022.06961375,408476.03768533404,2600000.0,0.0,0.0,3008476.037685334,0.0,3008476.037685334,10000.0,349990000.0,317954546.0319284,-32045453.968071565,0.0,-9924463.926829932,-5000000,0.0,-14924463.926829932,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_2,1,2031,3,20160000,2907145.697988847,17252854.302011155,19000000,10000000,875000.0,-12622145.697988845,0.0,-12622145.697988845,0.0,-12622145.697988845,275035148.0234467,3024000.0,0.0,37750000.0,315809148.0234467,436071.854698327,2900000.0,0.0,0.0,3336071.854698327,0.0,3336071.854698327,10000.0,349990000.0,312473076.1687484,-37526923.831251636,0.0,-11748908.910810964,-5000000,0.0,-16748908.910810964,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_3,1,2031,3,21560000,2958347.9013029174,18601652.09869708,21000000,11000000,875000.0,-14273347.901302919,0.0,-14273347.901302919,0.0,-14273347.901302919,270170706.7542966,3234000.0,0.0,37750000.0,311154706.7542966,443752.1851954376,3200000.0,0.0,0.0,3643752.1851954376,0.0,3643752.1851954376,10000.0,349990000.0,307510954.5691012,-42489045.430898786,0.0,-13400531.11774186,-5000000,0.0,-18400531.11774186,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_4,1,2031,3,23000000,3290164.037119085,19709835.962880917,23000000,12000000,875000.0,-16165164.037119083,0.0,-16165164.037119083,0.0,-16165164.037119083,264615374.8364377,3450000.0,0.0,37750000.0,305815374.8364377,493524.60556786275,3500000.0,0.0,0.0,3993524.6055678627,0.0,3993524.6055678627,10000.0,349990000.0,301821850.2308698,-48178149.76913019,0.0,-15293020.77757557,-5000000,0.0,-20293020.777575567,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
run_1775877722,firm_0,1,2031,4,17480000,2883242.1720021586,14596757.827997841,15000000,8000000,1000000.0,-9403242.172002159,0.0,-9403242.172002159,0.0,-9403242.172002159,271458356.55657417,2622000.0,0.0,41750000.0,315830356.55657417,432486.3258003238,2300000.0,0.0,0.0,2732486.325800324,0.0,2732486.325800324,10000.0,349990000.0,313097870.2307739,-36902129.76922609,0.0,-8404214.3944348,-5000000,0.0,-13404214.3944348,5000000,0.0,0,0.0,35.0,10.0,350000000.0,0,0
